product_id,product_name,product_url,reviewer_name,rating,sentiment,confidence,score,roberta_label,method,title,review_text,date,verified_purchase,helpful_count
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.4344,0.5,neutral,roberta,made small,"cute, soft and easy to keep clean. made small though. I bought up 2 sizes so they could be worn with socks for a 7 year old and they're still hard to get on. I'll be returning the replacement. If they were wider they'd be great.",,False,0
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.5608,0.5,neutral,roberta,Carefull with size,"Since they were listed under children we thought that we would receive a shoe for a little girl (size 6). Instead, we received an adult shoe that was fit my wife´s feet. Quality is as expected for 9 dollars.",,False,0
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.58,0.5,neutral,roberta,,I ordered two pair in a size 5 for my daughter. I received a size 5 for two pair made especially for a giant. I wear a size 7 and the shoes came close to fitting me.,,False,0
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.515,0.5,neutral,roberta,Cute but run a tad small,They are cute but size up half a size if possible. My daughter usually wears a 4 and her foot was edge to edge with no room at all. I had to return them.,,False,0
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.5536,0.5,neutral,roberta,Lasted about 1 month,"These shoes are nice looking, and they would work well for just sitting around, but I would not call them ""athletic shoes"". If your child actually wants to play outside while wearing these, the shoes are likely to fall apart very quickly. I bought 2 pairs of these shoes: 1 pair for my 11 year old daugter, and 1 pair for my 9 year old daughter. They have had the shoes for about a month, and both pairs have large holes in them (separation where the mesh meets the sole). Also, the sole is flimsy enough that it is nearly worn down to completely flat on the bottom, and it does not grip the ground well.",,False,0
654431420,,https://www.walmart.com/ip/Athletic-Works-Little-Girl-Big-Girl-Everyday-Mesh-Lace-Up-Athletic-Sneaker/654431420?utm_source=chatgpt.com # Completed at 2025-10-27 02:49:52 | Product ID: ERROR # Completed at 2025-10-27 02:51:18 | Product ID: ERROR,Anonymous,,neutral,0.7219,0.5,neutral,roberta,,"I purchased what I thought was gray and peach, but it was actually pink",,False,0
803706326,,https://www.walmart.com/ip/Levi-s-Men-s-510-Skinny-Fit-Jeans/803706326?utm_source=chatgpt.com,Anonymous,,neutral,0.6762,0.5,neutral,roberta,Still Trying,[This review was collected as part of a promotion.] Pants are a better fit but still not true to size.,,False,0
803706326,,https://www.walmart.com/ip/Levi-s-Men-s-510-Skinny-Fit-Jeans/803706326?utm_source=chatgpt.com,Anonymous,,neutral,0.6077,0.5,neutral,roberta,Nice skinny pants,"I usually avoid ordering jeans online because the sizing with Levi's varies from jean to jean. So I went to the store to try the 511s, as they don't carry 510s there. So, I ended up ordering size 29 x 32, as the 511s did fit comfortable with that size. Anyway, I've been wearing these 510s since I ordered them, and I didn't want to take them off after my first wear. They are skinny on thighs down to the calves, but they have enough room at the leg opening to look like a go-to pair for work and going out. The only issue I have is that these pants have an extra crotch space between the thighs, and as these pants run a little small on waist and thighs, the crotch area is about an inch loose. These jeans do stretch well though, and they fit better after every wear.",,False,0
803706326,,https://www.walmart.com/ip/Levi-s-Men-s-510-Skinny-Fit-Jeans/803706326?utm_source=chatgpt.com,Anonymous,,neutral,0.5015,0.5,neutral,roberta,All 510 Skinny Fit jeans aren't created equal,"I bought 2 pair if 510 skinny fit jeans in the same size/length for my son which he has had a pair of before. I ordered the Lake Anza & rigid dragon finishes. The Lake Anza pair had stretch material in them and they fit my son perfectly. Then he tried on the rigid dragon pair but couldn't even get them passed his knees. So I had to return them at my own expense which I don't think is fair. I don't think i'll be buying anymore from this site, because it seems you must try every color in the same fit/size to know if they will fit.",,False,0
803706326,,https://www.walmart.com/ip/Levi-s-Men-s-510-Skinny-Fit-Jeans/803706326?utm_source=chatgpt.com,Anonymous,,neutral,0.3552,0.5,neutral,roberta,Different than they used to be,"I've been wearing 510s for years and have always LOVED the way they fit. Recently I bought two pairs of the Rigid Dragon, what happened? The crotch sits too low and the waist sits too high, also the denim isn't nearly as comfortable as it used to be. I wish Levi's would go back to the old 510s.",,False,0
